,REGION,NUMBER OF SITES,SSE
1,49,158,218.094377944923
2,101,158,46.0566158415571
3,171,106,114.124725674511
4,291,162,53.0284204055976
5,310,102,66.929228571083
6,473,172,58.4011851975035
7,538,108,8.40902307278242
8,916,162,74.1224338797493
9,977,108,24.3725756822431
10,1034,108,16.0610431579403
