,FacWW_P,FacPmine,ManureP_Seas,FertP_Seas,Pmines_v17,GeolP,urban_Seas,logAirTemp,logPPT,PrevSurfSoMoi,PrevET,PrevEVIMean,lkfactup,rchtot
FacWW_P,0.0271490759424772,0.00368758030415839,-0.000196489539119796,0.000278314647795814,-0.000100137124098161,0.000215347620377159,0.00458869857034878,0.00181596028070397,0.000170179269460798,-0.00192161455985821,0.000952344991543843,0.00476552252772432,-0.00138648620533742,0.00465037754800376
FacPmine,0.00368758030415839,-0.000781120087698129,0.000269969669692026,0.000296509245066004,0.000107094903971488,-0.000130725404801127,0.0285431387981112,-0.00477836928457484,0.000140574837943886,-0.000170391671777416,-0.00140916453404929,-0.000203997630975132,0.00646950805255257,0.00416371586837464
ManureP_Seas,-0.000196489539119796,0.000269969669692026,-2.13360053188876e-05,-2.17293845714884e-05,-1.21825188137012e-05,1.28041040038132e-05,-0.00299965755572761,0.000331394686519103,4.05316313006253e-05,2.94121874589915e-05,0.00010781466036543,0.000172252256905469,-0.000922676814015345,-0.000275000111077021
FertP_Seas,0.000278314647795815,0.000296509245066004,-2.17293845714885e-05,5.32093239990554e-05,-1.24871518340264e-05,1.05195451837287e-05,0.000690506743259858,0.00023817583942293,7.63438840858569e-05,0.000342793438597473,8.32654491197209e-05,-0.000134610170774514,0.00293247926549293,0.000308095991097664
Pmines_v17,-0.000100137124098162,0.000107094903971488,-1.21825188137012e-05,-1.24871518340264e-05,3.35436852327184e-06,1.23683541973863e-05,-0.00213827230360454,0.000271572011911853,2.65621169831119e-06,3.09483030102286e-05,7.34596997776568e-05,-0.000102150277428834,-0.00203317368716645,-9.68824102961644e-05
GeolP,0.000215347620377158,-0.000130725404801127,1.28041040038132e-05,1.05195451837286e-05,1.23683541973863e-05,1.00461482163201e-05,-0.000778736578367605,4.36609389229348e-06,-5.46068981081922e-05,-2.2715001379193e-05,-2.35868581290008e-05,-0.000527760814820273,-0.000451799236599921,0.000243846310701705
urban_Seas,0.0045886985703486,0.0285431387981111,-0.00299965755572761,0.000690506743259859,-0.00213827230360454,-0.00077873657836761,1.56825039819439,0.0162276983716042,0.0014201439474978,-0.0739180549851718,0.031735407277828,0.0378541766118659,0.296583885969077,0.00834400550503267
logAirTemp,0.00181596028070401,-0.00477836928457485,0.000331394686519104,0.000238175839422929,0.000271572011911854,4.36609389229313e-06,0.0162276983716043,0.0414008119003659,-0.00907738133317844,-0.000715594339621081,-0.00104066464042349,-0.0165120880934055,-0.00599715747091848,0.00239360177057289
logPPT,0.000170179269460799,0.000140574837943893,4.05316313006247e-05,7.63438840858567e-05,2.65621169831086e-06,-5.46068981081919e-05,0.00142014394749776,-0.00907738133317843,0.00366255177364797,0.00312754475041221,4.315238371221e-05,-0.000292503724694855,0.00245433661030286,0.000389615081575485
PrevSurfSoMoi,-0.00192161455985819,-0.000170391671777407,2.94121874589902e-05,0.000342793438597473,3.09483030102281e-05,-2.27150013791922e-05,-0.0739180549851719,-0.00071559433962106,0.00312754475041221,0.0220705147090614,0.000525330071170653,-0.0122513020368454,0.00557638831146344,-0.00178176184799002
PrevET,0.000952344991543862,-0.0014091645340493,0.00010781466036543,8.32654491197206e-05,7.34596997776568e-05,-2.35868581290009e-05,0.0317354072778281,-0.00104066464042349,4.31523837122072e-05,0.000525330071170645,0.00125536787282113,-0.0065797314521762,0.00127689260819166,0.00122474307091079
PrevEVIMean,0.00476552252772426,-0.000203997630975129,0.00017225225690547,-0.000134610170774513,-0.000102150277428834,-0.000527760814820273,0.0378541766118658,-0.0165120880934055,-0.000292503724694862,-0.0122513020368454,-0.00657973145217621,0.0628240200050409,0.0221980718621396,0.00601948648106954
lkfactup,-0.00138648620533758,0.00646950805255257,-0.000922676814015348,0.00293247926549293,-0.00203317368716645,-0.000451799236599919,0.296583885969077,-0.0059971574709184,0.00245433661030285,0.00557638831146343,0.00127689260819168,0.0221980718621396,0.634214886511314,0.0132767599610021
rchtot,0.00465037754800377,0.00416371586837464,-0.000275000111077021,0.000308095991097664,-9.68824102961645e-05,0.000243846310701705,0.00834400550503275,0.00239360177057288,0.000389615081575488,-0.00178176184799001,0.00122474307091079,0.00601948648106955,0.0132767599610022,0.00476802396339027
