waterid,demtarea,rchname,station_id,station_name,staid,sitedata.demtarea.class,standardResids,Resids,leverage,leverageCrit,CooksD,CooksDpvalue,weight,tiarea,residCheck
87068,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,781,310,-2.05976595547223,-1.44420697963564,0.037896852860927,0.03125,0.0119368359681863,0.999999999999059,1,310.203,2.05976595547223
89163,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,796,49,-4.2602986981582,-3.02836848233987,0.0111376451845401,0.03125,0.0146019076543594,0.999999999995809,1,49.059,4.2602986981582
95123,438.2406,NA,NA,Cypress Creek at SR 581,849,473,-4.12644556850846,-2.92256277732057,0.0183109123822097,0.03125,0.0226861201012704,0.999999999891863,1,438.2406,4.12644556850846
97502,49.3056,NA,NA,Brushy Creek at Gunn Hwy,867,49,-0.432073618411545,-0.302330254422355,0.0418219301366521,0.03125,0.000582029918520914,1,1,49.3056,0.432073618411545
97503,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,868,49,-1.1344294412268,-0.796225265575718,0.0359147502317185,0.03125,0.0034243989441077,1,1,49.059,1.1344294412268
97821,171.3213,NA,NA,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,870,171,1.37266084345473,0.963607641894898,0.0355660538439297,0.03125,0.0049631985358492,0.999999999999999,1,171.3213,1.37266084345473
97903,438.2406,NA,NA,Cypress Creek at SR 581,875,473,-2.03736199497104,-1.42104729773367,0.0479074372639433,0.03125,0.0149187395551767,0.999999999995088,1,438.2406,2.03736199497104
98044,48.393,NA,NA,Delaney Creek at US 41,876,49,-0.0875901740194041,-0.0612671004922127,0.0424920593092661,0.03125,2.43191357714173e-05,1,1,48.393,0.0875901740194041
98124,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,877,310,-0.890326959304258,-0.622688212751136,0.0427161130649852,0.03125,0.00252651564000401,1,1,300.8259,0.890326959304258
100904,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,903,310,1.45342314180758,0.98767085647969,0.0962696987424079,0.03125,0.0160733675119553,0.999999999991474,1,300.8259,1.45342314180758
100968,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,904,310,0.786908295565018,0.552162124821336,0.0364295195450306,0.03125,0.00167220750597203,1,1,310.203,0.786908295565018
106528,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,955,310,-0.913370514660027,-0.641987127289596,0.0331542951970329,0.03125,0.00204337731371947,1,1,310.203,0.913370514660027
109164,48.393,NA,NA,Delaney Creek at US 41,978,49,0.988119462391076,0.694220737217531,0.0340052510964553,0.03125,0.00245505989330287,1,1,48.393,0.988119462391076
109244,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,979,310,-0.421451927501236,-0.295236920524905,0.0396185736321012,0.03125,0.000523387247452483,1,1,300.8259,0.421451927501236
111402,49.3056,NA,NA,Brushy Creek at Gunn Hwy,995,49,-0.158132712442239,-0.106850466580969,0.106472522028227,0.03125,0.000212835973390472,1,1,49.3056,0.158132712442239
111721,171.3213,NA,NA,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,998,171,3.48304901112517,2.4744811655568,0.0122486283095984,0.03125,0.0107456069258588,0.999999999999569,1,171.3213,3.48304901112517
112088,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,1005,310,-0.0670546289581274,-0.0470781337733381,0.0353284792063593,0.03125,1.17618321394866e-05,1,1,310.203,0.0670546289581274
114182,49.3056,NA,NA,Brushy Creek at Gunn Hwy,1020,49,-2.66584089291536,-1.77005486871361,0.137213155766794,0.03125,0.0807295727235739,0.999998998271291,1,49.3056,2.66584089291536
114499,254.7864,NA,NA,BLACKWATER CREEK NEAR KNIGHTS FL,1022,291,-1.26322521529124,-0.885867445505449,0.0375583258288632,0.03125,0.00444800576842483,1,1,254.7864,1.26322521529124
120364,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,1079,310,-0.0663702591312328,-0.0447159476004595,0.111665849473024,0.03125,3.95515043637245e-05,1,1,300.8259,0.0663702591312328
120428,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,1080,310,-1.90349578482443,-1.3343521197194,0.0383089629052516,0.03125,0.0103095718505566,0.999999999999683,1,310.203,1.90349578482443
123208,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,1105,310,-0.356875320140982,-0.250118032136895,0.0387076561108498,0.03125,0.000366307984561238,1,1,310.203,0.356875320140982
131484,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,1177,310,0.995885519694524,0.681677716834296,0.0830664415947957,0.03125,0.00641768709810137,0.999999999999991,1,300.8259,0.995885519694524
131548,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,1178,310,-1.33485427045798,-0.936357820897195,0.0370261769147034,0.03125,0.00489366307263832,0.999999999999999,1,310.203,1.33485427045798
142383,438.2406,NA,NA,Cypress Creek at SR 581,1275,473,-3.67908734363264,-2.59096735979489,0.0293957364394967,0.03125,0.029281566794804,0.999999999298364,1,438.2406,3.67908734363264
