waterid,demtarea,rchname,station_id,station_name,staid,sitedata.demtarea.class,standardResids,Resids,leverage,leverageCrit,CooksD,CooksDpvalue,weight,tiareakm2,residCheck
83603,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,750,49,-4.88745267155266,-3.41675798144374,0.0126706890799896,0.03125,0.0218965300752502,0.999999999916656,NA,49.059,4.88745267155266
86382,49.3056,NA,NA,Brushy Creek at Gunn Hwy,772,49,0.166545276270633,0.115097622753971,0.0351344652744263,0.03125,7.21444883228973e-05,1,NA,49.3056,0.166545276270633
86383,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,773,49,-5.51490456265686,-3.85941747250201,0.0106129091104612,0.03125,0.0233032327095494,0.999999999868295,NA,49.059,5.51490456265686
87068,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,781,310,-1.7678926468693,-1.2098701266083,0.0538402854640612,0.03125,0.0127035951373628,0.999999999998507,NA,310.203,1.7678926468693
89163,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,796,49,-4.36907231714608,-3.05755282377054,0.0106084522526574,0.03125,0.0146195586161497,0.999999999995772,NA,49.059,4.36907231714608
95123,438.2406,NA,NA,Cypress Creek at SR 581,849,473,-4.08622702251526,-2.83424776724977,0.0280825758259246,0.03125,0.034460733676636,0.999999997700748,NA,438.2406,4.08622702251526
97502,49.3056,NA,NA,Brushy Creek at Gunn Hwy,867,49,-0.410899700012622,-0.282860039578605,0.0426510354369586,0.03125,0.000537282777773326,1,NA,49.3056,0.410899700012622
97819,254.7864,NA,NA,BLACKWATER CREEK NEAR KNIGHTS FL,869,291,0.644468250132807,0.445326610007029,0.0353873236132417,0.03125,0.0010883529789479,1,NA,254.7864,0.644468250132807
97821,171.3213,NA,NA,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,870,171,1.42066375066855,0.982938620288452,0.0329054754761716,0.03125,0.00490516712630807,0.999999999999999,NA,171.3213,1.42066375066855
97903,438.2406,NA,NA,Cypress Creek at SR 581,875,473,-1.82171821606672,-1.25193366171682,0.0458888828001763,0.03125,0.0114009986629266,0.999999999999331,NA,438.2406,1.82171821606672
98044,48.393,NA,NA,Delaney Creek at US 41,876,49,-0.332508501965379,-0.229133330503199,0.0406661882601094,0.03125,0.000334765880725064,1,NA,48.393,0.332508501965379
98124,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,877,310,-0.815649116316003,-0.561491885541663,0.0426318978247132,0.03125,0.00211609137591172,1,NA,300.8259,0.815649116316003
98188,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,878,310,-0.233950091380619,-0.161798129616738,0.0337282557003539,0.03125,0.000136462399739384,1,NA,310.203,0.233950091380619
100683,438.2406,NA,NA,Cypress Creek at SR 581,901,473,-0.135199020353882,-0.093479264875941,0.0342110946691741,0.03125,4.624915608148e-05,1,NA,438.2406,0.135199020353882
100904,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,903,310,1.53034095045004,1.04304214096455,0.06151780934199,0.03125,0.0109653674624763,0.999999999999499,NA,300.8259,1.53034095045004
100968,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,904,310,1.03638588035658,0.712721779057176,0.0445767411661117,0.03125,0.00357954186062932,1,NA,310.203,1.03638588035658
106528,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,955,310,-0.725657847437245,-0.497824949250045,0.0492020239258118,0.03125,0.00194639273968904,1,NA,310.203,0.725657847437245
109164,48.393,NA,NA,Delaney Creek at US 41,978,49,0.841905101740611,0.582091048954592,0.0342731989054817,0.03125,0.00179679530452044,1,NA,48.393,0.841905101740611
109308,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,980,310,-0.719665037645185,-0.498160847527359,0.0319961185058299,0.03125,0.00122279307722796,1,NA,310.203,0.719665037645185
111402,49.3056,NA,NA,Brushy Creek at Gunn Hwy,995,49,-0.096093791801521,-0.063935599179846,0.105678765982001,0.03125,7.79393566692291e-05,1,NA,49.3056,0.096093791801521
111721,171.3213,NA,NA,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,998,171,3.47353403573244,2.42392212167253,0.0162314562542719,0.03125,0.0142193464429903,0.999999999996557,NA,171.3213,3.47353403573244
112024,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,1004,310,0.738598976519759,0.507903770472945,0.0446902826281385,0.03125,0.00182288081062386,1,NA,300.8259,0.738598976519759
112088,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,1005,310,0.1710981874535,0.11794280891465,0.0400450764987119,0.03125,8.72290352466517e-05,1,NA,310.203,0.1710981874535
114182,49.3056,NA,NA,Brushy Creek at Gunn Hwy,1020,49,-2.38927476627276,-1.57534890557884,0.12174618903919,0.03125,0.0565248592748246,0.999999918785913,NA,49.3056,2.38927476627276
114804,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,1029,310,-1.63071847526706,-1.12605989181776,0.0366952062915864,0.03125,0.00723561681809872,0.999999999999977,NA,300.8259,1.63071847526706
120364,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,1079,310,0.104113989005869,0.067974977997685,0.138850203112615,0.03125,0.000124841205241099,1,NA,300.8259,0.104113989005869
120428,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,1080,310,-1.59080312670499,-1.08455334500016,0.0609954662681135,0.03125,0.011741800644769,0.999999999999167,NA,310.203,1.59080312670499
120429,359.2467,NA,NA,S Prong of Alafia River upstream of confluence w/ N,1081,473,-0.119891595871912,-0.0827092696645222,0.0385435564314285,0.03125,4.11596446732044e-05,1,NA,62.9694,0.119891595871912
131484,296.2773,NA,NA,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,1177,310,1.22161675749562,0.787274259192694,0.160963477814333,0.03125,0.020449769102418,0.999999999949601,NA,300.8259,1.22161675749562
131548,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,1178,310,-1.02666652199352,-0.700344408421609,0.0599233737428538,0.03125,0.00479914384643078,1,NA,310.203,1.02666652199352
139603,438.2406,NA,NA,Cypress Creek at SR 581,1249,473,-0.307193959072525,-0.211993035163073,0.0379080782041632,0.03125,0.00026559048151529,1,NA,438.2406,0.307193959072525
139888,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,1252,310,-0.29743757496449,-0.205364194631814,0.0369329724537209,0.03125,0.000242337919683306,1,NA,310.203,0.29743757496449
142383,438.2406,NA,NA,Cypress Creek at SR 581,1275,473,-3.38847939134635,-2.35517043138913,0.0240362031688841,0.03125,0.0201982535641797,0.999999999953991,NA,438.2406,3.38847939134635
147861,171.3213,NA,NA,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,1322,171,0.0700459634700408,0.0484882272902922,0.0319336782768238,0.03125,1.15606439262339e-05,1,NA,171.3213,0.0700459634700408
147943,438.2406,NA,NA,Cypress Creek at SR 581,1327,473,-1.88417649547172,-1.3038309231773,0.0326177483863613,0.03125,0.00855009599962219,0.999999999999921,NA,438.2406,1.88417649547172
