,REGION,NUMBER OF SITES,SSE
1,49,158,218.13638742408
2,101,158,47.2371582787816
3,171,106,114.561382033006
4,291,162,52.9503313790907
5,310,102,57.2012261611156
6,473,172,62.1875349341369
7,538,108,8.20338023912677
8,916,162,62.841210833256
9,977,108,20.1448024902637
10,1034,108,14.880638419206
